price,year,make,model,condition,cylinders,drive,odometer,paint,title_status,transmission,vehicle_type
"$8,995",2008,bmw,x3,excellent,6 cylinders,4wd,75000,grey,clean,automatic,SUV
"$24,000",2015,mercedes,benz e350,like new,6 cylinders,rwd,44000,silver,clean,automatic,sedan
"$5,000",2011,Chevy,traverse,good,6 cylinders,4wd,166000,grey,clean,automatic,SUV
"$33,000",2017,chevy,camaro,excellent,8 cylinders,rwd,38890,black,clean,manual,coupe
"$34,991",2020,BMW,X1,like new,4 cylinders,4wd,14125,blue,clean,automatic,wagon
"$6,500",2007,toyota,sequoia,good,8 cylinders,4wd,220000,red,clean,automatic,SUV
"$39,000",2018,Chevy,Silverado 1500 Lt 4x4,new,8 cylinders,4wd,10977,grey,clean,automatic,truck
"$2,995",2001,TOYOTA,CAMRY,good,4 cylinders,fwd,173087,silver,clean,automatic,sedan
"$6,000",2010,Mercedes,Benz E350,good,6 cylinders,rwd,174650,blue,clean,automatic,sedan
"$57,891",2018,Dodge,Durango,like new,8 cylinders,4wd,34556,white,clean,automatic,wagon
"$49,991",2015,Mercedes-Benz,S-Class,like new,8 cylinders,rwd,51900,silver,clean,automatic,coupe
"$6,500",2010,Toyota,Prius Hybrid,excellent,4 cylinders,fwd,198500,white,clean,automatic,hatchback
"$26,991",2016,BMW,4 Series,like new,4 cylinders,rwd,26261,white,clean,automatic,coupe
"$15,991",2014,Mazda,MAZDA3,like new,4 cylinders,fwd,79087,white,clean,automatic,sedan
"$8,000",2007,lexus,is 250,excellent,6 cylinders,rwd,160000,blue,clean,automatic,sedan
"$9,500",2001,2001, Jaguar XJ8L,excellent,8 cylinders,rwd,125600,silver,clean,automatic,sedan
"$9,500",2001,2001, Jaguar XJ8L,excellent,8 cylinders,rwd,124600,silver,clean,automatic,sedan
"$4,000",2006,Honda,Pilot,excellent,8 cylinders,4wd,324907,red,clean,automatic,SUV
"$15,999",2014,toyota,prius,excellent,4 cylinders,fwd,78795,white,clean,automatic,hatchback
"$11,750",1998,1997,Jaguar XK8,excellent,8 cylinders,rwd,99229,blue,clean,automatic,convertible
"$17,900",2019,honda,accord,excellent,4 cylinders,fwd,53000,grey,salvage,automatic,sedan
"$1,100",2011,honda,accord,fair,4 cylinders,fwd,332000,black,clean,automatic,coupe
"$2,000",1987,chevy,corvette,fair,8 cylinders,rwd,165000,blue,clean,automatic,coupe
"$6,500",2014,bmw,320,good,4 cylinders,rwd,150000,grey,clean,automatic,sedan
"$2,950",2001,lexus,is 300,good,4 cylinders,fwd,200000,grey,clean,automatic,sedan
"$6,900",2008,lexus,rx 350,new,6 cylinders,fwd,125258,blue,clean,automatic,SUV
"$35,000",2022,hyundai,tucson limited Hybrid,like new,4 cylinders,4wd,15500,grey,clean,automatic,SUV
"$14,500",1980,Mercedes,450SL,excellent,8 cylinders,rwd,57000,white,clean,automatic,convertible
"$6,500",2000,gmc,sierra 1500,good,8 cylinders,4wd,179000,brown,clean,automatic,truck
"$8,995",2015,2015,nissan altima s,excellent,4 cylinders,fwd,112000,silver,clean,automatic,sedan
"$6,500",2001,mercedes,benz clk430,excellent,8 cylinders,rwd,140000,black,clean,automatic,convertible
"$28,000",2015,toyota,tacoma,excellent,6 cylinders,rwd,24963,silver,clean,automatic,truck
"$4,500",1999,chevrolet,tahoe,good,8 cylinders,4wd,160000,white,clean,automatic,SUV
"$5,000",2007,mini,cooper s,good,4 cylinders,fwd,125000,custom,clean,automatic,convertible
